t1B1c1, t1B1c1, t1C1c1, t1C1c1, t1D1c1, t1D1c1, t1E1c1, t1E1c1, t1F1c1, t1F1c1, t1G1c1, t1G1c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1687.24, 0.02802864, 1687.24, 0.00114166, 1687.24, -0.00071763, 1687.24, -0.00200546, 1687.24, 0.00054502, 1687.24, -0.00160457, 
1687.44, 0.02876274, 1687.44, 0.00119776, 1687.44, -0.00059647, 1687.44, -0.00214435, 1687.44, 0.00100377, 1687.44, -0.00148333, 
1687.64, 0.02930614, 1687.64, 0.00142479, 1687.64, -0.00046571, 1687.64, -0.00210989, 1687.64, 0.00144271, 1687.64, -0.00115795, 
1687.84, 0.02938201, 1687.84, 0.00125277, 1687.84, -0.00021703, 1687.84, -0.00232023, 1687.84, 0.00073873, 1687.84, -0.00134009, 
1688.04, 0.02941472, 1688.04, 0.00085166, 1688.04, -0.0000287, 1688.04, -0.00235737, 1688.04, 0.00036651, 1688.04, -0.00108072, 
1688.24, 0.02921946, 1688.24, 0.00052563, 1688.24, -0.00025056, 1688.24, -0.00257721, 1688.24, 0.00048835, 1688.24, -0.0012351, 
1688.44, 0.02894822, 1688.44, -0.0002101, 1688.44, -0.00036729, 1688.44, -0.00273205, 1688.44, 0.00004994, 1688.44, -0.00106324, 
1688.64, 0.02933456, 1688.64, 0.00023698, 1688.64, 0.00012331, 1688.64, -0.00254443, 1688.64, -0.00024673, 1688.64, -0.00113311, 
1688.84, 0.02992978, 1688.84, 0.00011332, 1688.84, -0.00079052, 1688.84, -0.00249691, 1688.84, 0.00038557, 1688.84, -0.00124651, 
1689.04, 0.03106208, 1689.04, 0.00069369, 1689.04, 0.00032743, 1689.04, -0.00196286, 1689.04, 0.00039491, 1689.04, -0.00027756, 
1689.24, 0.03179533, 1689.24, 0.00135143, 1689.24, 0.0006775, 1689.24, -0.00134677, 1689.24, 0.00128473, 1689.24, 0.00030027, 
1689.44, 0.03199414, 1689.44, 0.00136779, 1689.44, 0.00096742, 1689.44, -0.00149185, 1689.44, 0.00135041, 1689.44, 0.00062176, 
1689.64, 0.03233679, 1689.64, 0.00132944, 1689.64, 0.00140602, 1689.64, -0.00153946, 1689.64, 0.00147237, 1689.64, 0.00100749, 
1689.84, 0.03324578, 1689.84, 0.00207246, 1689.84, 0.00175407, 1689.84, -0.00129179, 1689.84, 0.0016756, 1689.84, 0.00102129, 
1690.04, 0.03341986, 1690.04, 0.0013421, 1690.04, 0.00143674, 1690.04, -0.00139885, 1690.04, 0.00134178, 1690.04, 0.00121629, 
1690.24, 0.03405238, 1690.24, 0.00195853, 1690.24, 0.00223063, 1690.24, -0.00060485, 1690.24, 0.00140078, 1690.24, 0.00174626, 
1690.44, 0.03514365, 1690.44, 0.0022326, 1690.44, 0.00257653, 1690.44, -0.00046063, 1690.44, 0.00154228, 1690.44, 0.0017821, 
1690.64, 0.03607207, 1690.64, 0.00270141, 1690.64, 0.00282602, 1690.64, 0.00009832, 1690.64, 0.00185452, 1690.64, 0.00282337, 
1690.84, 0.03652967, 1690.84, 0.00252977, 1690.84, 0.00249261, 1690.84, 0.0003199, 1690.84, 0.00194408, 1690.84, 0.00270319, 
1691.04, 0.03664527, 1691.04, 0.00232069, 1691.04, 0.00238353, 1691.04, -0.0003378, 1691.04, 0.00162124, 1691.04, 0.00236942, 
1691.24, 0.03640116, 1691.24, 0.00115702, 1691.24, 0.0021616, 1691.24, -0.00083605, 1691.24, 0.00145131, 1691.24, 0.00172948, 
1691.44, 0.0360834, 1691.44, 0.00124217, 1691.44, 0.00162756, 1691.44, -0.00125517, 1691.44, 0.00104247, 1691.44, 0.00117315, 
1691.64, 0.03566285, 1691.64, 0.00085037, 1691.64, 0.00110989, 1691.64, -0.00221212, 1691.64, 0.00032442, 1691.64, 0.000053, 
1691.84, 0.03543056, 1691.84, 0.00060611, 1691.84, 0.00099159, 1691.84, -0.00221756, 1691.84, -0.00041788, 1691.84, -0.00037999, 
1692.04, 0.03573806, 1692.04, 0.00044328, 1692.04, 0.00045717, 1692.04, -0.00199054, 1692.04, -0.00041599, 1692.04, -0.00061764, 
1692.24, 0.03595857, 1692.24, -0.00009439, 1692.24, -0.00001448, 1692.24, -0.00238119, 1692.24, -0.00073285, 1692.24, -0.00042512, 
1692.44, 0.03639494, 1692.44, -0.00014617, 1692.44, -0.00046064, 1692.44, -0.00219851, 1692.44, -0.00125724, 1692.44, -0.00058258, 
1692.64, 0.03692379, 1692.64, -0.00017508, 1692.64, -0.00075509, 1692.64, -0.00248866, 1692.64, -0.00170033, 1692.64, -0.00086693, 
