 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1687.65,-0.1417494,-0.07966112,-0.0995958,-0.10460978,-0.10297766,-0.0794485,-0.08248743,-0.17939989,-0.1934147,-0.20245862,-0.19322677,-0.20295347,-0.1957272,-0.16292891, 
1687.84,-0.13929571,-0.08022346,-0.10643178,-0.10555869,-0.09944582,-0.08167472,-0.08165506,-0.1821747,-0.19212122,-0.20375158,-0.19254756,-0.19830419,-0.20096678,-0.1679121, 
1688.02,-0.1400827,-0.08138845,-0.10237528,-0.10839837,-0.09915755,-0.07639092,-0.08493107,-0.17676601,-0.19046733,-0.20226549,-0.19444878,-0.2028925,-0.19404159,-0.16363715, 
1688.24,-0.14078571,-0.07879672,-0.10452671,-0.10735634,-0.10312109,-0.08076772,-0.08402721,-0.18259323,-0.19568996,-0.2061291,-0.18920894,-0.20054728,-0.19846761,-0.16483286, 
1688.44,-0.13843036,-0.07792381,-0.10185711,-0.10585688,-0.10032122,-0.08014674,-0.08183581,-0.17806725,-0.19530252,-0.20382209,-0.19069663,-0.1978974,-0.20015299,-0.16771318, 
1688.63,-0.13732393,-0.07974756,-0.10368463,-0.10565532,-0.10060532,-0.0796101,-0.08356152,-0.18064362,-0.19210449,-0.20578076,-0.19277361,-0.19893095,-0.1979811,-0.16511106, 
1688.85,-0.14091578,-0.07778849,-0.10395033,-0.10658459,-0.1056113,-0.07845049,-0.08284279,-0.18081675,-0.18945608,-0.20503096,-0.19249059,-0.20001173,-0.19264905,-0.16561957, 
1689.02,-0.13642544,-0.07901595,-0.10475802,-0.10146648,-0.10163604,-0.07668714,-0.08290388,-0.18236665,-0.19014552,-0.20175663,-0.19232887,-0.20026852,-0.19582894,-0.16511905, 
1689.22,-0.14212343,-0.0795531,-0.10228144,-0.10935778,-0.09949461,-0.07586479,-0.08554675,-0.18132073,-0.18975493,-0.20435698,-0.19263683,-0.19938259,-0.19757868,-0.16516797, 
1689.44,-0.14235333,-0.07601659,-0.10031903,-0.10232042,-0.10614622,-0.0786908,-0.08162284,-0.18093228,-0.18785362,-0.19959097,-0.18928994,-0.19973563,-0.19387576,-0.16409014, 
1689.65,-0.14238884,-0.07561783,-0.10185207,-0.10334124,-0.10418776,-0.07973904,-0.08047015,-0.17816365,-0.18945032,-0.20108879,-0.19351843,-0.2040509,-0.19603394,-0.16532135, 
1689.83,-0.14260098,-0.077571,-0.10193107,-0.111112,-0.10246031,-0.07548404,-0.08280723,-0.17984158,-0.19159509,-0.20095882,-0.19475947,-0.19924176,-0.19805641,-0.16230123, 
1690.04,-0.13913377,-0.07198642,-0.10393409,-0.10624259,-0.10141002,-0.07569863,-0.08156565,-0.17910036,-0.19033974,-0.20406371,-0.19270813,-0.19872184,-0.19608735,-0.16700283, 
1690.22,-0.13984661,-0.07043865,-0.09993541,-0.10606847,-0.1031064,-0.08407585,-0.08495202,-0.17971924,-0.1889675,-0.20218736,-0.18898804,-0.20304003,-0.19576815,-0.16714577, 
1690.43,-0.14061846,-0.07112746,-0.10115978,-0.1058443,-0.10282868,-0.07928064,-0.08350528,-0.17860213,-0.18946001,-0.20517665,-0.19176698,-0.19883481,-0.19332103,-0.16316345, 
1690.64,-0.14168479,-0.07412972,-0.1021071,-0.10890125,-0.1041556,-0.07497422,-0.07969807,-0.17925304,-0.18613549,-0.20196214,-0.19286996,-0.20247434,-0.19762579,-0.16723852, 
1690.83,-0.14393827,-0.07575599,-0.10186031,-0.10164867,-0.10315075,-0.08117375,-0.08211954,-0.17938535,-0.1907132,-0.20151113,-0.19500019,-0.20169885,-0.19321702,-0.16643171, 
