 Data Alignment: None,,,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD_INVERSE\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 230125_015.frd, 230125_016.frd, 
X Values, A3, B3, C3, D3, E3, F3, G3, H3, A4, B4, C4, D4, E4, F4, G4, H4, 
1690.83,0.32244372,0.60398585,0.33952132,0.33312505,0.27091184,0.38746226,0.28994372,-0.16971324,-0.0994113,-0.08199745,-0.11690456,-0.14507297,-0.14347805,-0.15756267,-0.11773419,-0.25603092, 
1691.03,0.32132715,0.60748434,0.33639476,0.33178425,0.26765358,0.38584056,0.2950519,-0.17313017,-0.09921045,-0.08073508,-0.11476337,-0.14320095,-0.14848563,-0.15878107,-0.12069917,-0.25409877, 
1691.22,0.32080537,0.6076892,0.33829483,0.33432221,0.27059016,0.38523194,0.29280964,-0.17118376,-0.09659383,-0.08295958,-0.11851788,-0.14236295,-0.14654203,-0.16144323,-0.11834393,-0.25207335, 
1691.42,0.31831148,0.60789257,0.34098744,0.33269796,0.27123088,0.38893232,0.29192534,-0.17480806,-0.10177711,-0.08403239,-0.11827303,-0.14154898,-0.14387499,-0.16068533,-0.11892233,-0.25276852, 
1691.63,0.32318485,0.60877031,0.34076533,0.33402357,0.27560601,0.38982373,0.29321364,-0.17528217,-0.10274746,-0.08336861,-0.11556517,-0.14398967,-0.14936584,-0.15941641,-0.11980468,-0.25432202, 
1691.83,0.32382354,0.61358297,0.33846122,0.33632404,0.27581441,0.38802147,0.29066992,-0.1698792,-0.09844805,-0.08376709,-0.12023261,-0.14463961,-0.14987463,-0.16150713,-0.11880948,-0.25218606, 
1692.03,0.3205483,0.61161709,0.34158623,0.33087271,0.27478662,0.38554597,0.29222688,-0.17080295,-0.10072169,-0.08119207,-0.11486643,-0.14439484,-0.14497948,-0.16064337,-0.11699557,-0.25262803, 
1692.23,0.32153961,0.61580837,0.33778575,0.33214661,0.27034208,0.38745758,0.29145318,-0.17069156,-0.09933829,-0.08654033,-0.11551014,-0.14665389,-0.14927483,-0.15978767,-0.120761,-0.25241646, 
1692.42,0.32261363,0.6148029,0.34000245,0.33381557,0.2749494,0.38767326,0.2923668,-0.17087463,-0.10040709,-0.08094766,-0.11874638,-0.14369205,-0.14810662,-0.16044909,-0.11426928,-0.25539166, 
1692.62,0.32226416,0.61599714,0.33829367,0.33680189,0.27325234,0.38673487,0.28781196,-0.17174001,-0.09642246,-0.0800174,-0.11405367,-0.14480218,-0.14383613,-0.16072263,-0.11990593,-0.25493333, 
1692.83,0.31805143,0.61897296,0.33960354,0.33392605,0.27506244,0.38862067,0.29243556,-0.17085414,-0.09862135,-0.078691,-0.11620544,-0.14190356,-0.14880548,-0.15669796,-0.12220072,-0.25524274, 
1693.01,0.31980115,0.61973077,0.33832121,0.33342257,0.27482095,0.38679266,0.29164872,-0.17040119,-0.10104301,-0.08448432,-0.11767209,-0.14460707,-0.14593008,-0.16040245,-0.12217178,-0.25674042, 
1693.23,0.32290152,0.61887771,0.33890778,0.33480749,0.27614012,0.38782749,0.2946606,-0.17092317,-0.10283142,-0.08097266,-0.11856416,-0.14342682,-0.14611243,-0.15934855,-0.11551424,-0.2555297, 
1693.42,0.32093692,0.62295955,0.34006572,0.33487704,0.27484185,0.38168663,0.29323521,-0.16896968,-0.10383892,-0.08258116,-0.11303469,-0.14339702,-0.14492141,-0.15814558,-0.11735818,-0.25879863, 
1693.62,0.31893101,0.62085259,0.33871868,0.33083397,0.27759412,0.38818896,0.29505178,-0.17491409,-0.1025138,-0.0846473,-0.11687944,-0.14305519,-0.14499179,-0.15773025,-0.11666514,-0.25399724, 
1693.83,0.32363448,0.62246406,0.33639875,0.33561325,0.27581415,0.38734508,0.29372653,-0.17168134,-0.10337741,-0.080158,-0.12122207,-0.14467295,-0.14923853,-0.15891664,-0.11857612,-0.25450787, 
1694.03,0.31612656,0.62481576,0.33963147,0.33433914,0.27338621,0.38611168,0.29216087,-0.17471482,-0.1000285,-0.08348909,-0.11705554,-0.14261998,-0.14554361,-0.15954621,-0.11804985,-0.25444654, 
1694.22,0.32521182,0.62511694,0.33513454,0.33305824,0.27547815,0.38514984,0.28913802,-0.17098406,-0.09646314,-0.08032092,-0.11909856,-0.1465836,-0.14456643,-0.15945952,-0.11832774,-0.2545628, 
1694.43,0.32269245,0.62642562,0.33974472,0.33223042,0.27337137,0.38888723,0.29548156,-0.17220764,-0.1013057,-0.08294205,-0.1174656,-0.14322898,-0.14914888,-0.1611806,-0.12373621,-0.25370941, 
1694.62,0.32266286,0.62808967,0.3353487,0.33450195,0.27725789,0.38874698,0.29313499,-0.17387329,-0.09782421,-0.08108117,-0.114895,-0.1395421,-0.14281078,-0.16143501,-0.12195664,-0.2525228, 
1694.81,0.32357445,0.62943047,0.33703256,0.33669695,0.27292228,0.3899875,0.29388112,-0.17502858,-0.10292117,-0.08010299,-0.11780138,-0.14221889,-0.14533612,-0.15967716,-0.11818787,-0.25429958, 
1695.03,0.31746304,0.63233531,0.33807728,0.3309316,0.27138349,0.38736618,0.29303065,-0.17159492,-0.10267031,-0.08016173,-0.11266844,-0.14419313,-0.148197,-0.16011429,-0.11900789,-0.25045902, 
1695.23,0.31967902,0.63450152,0.33522877,0.33181965,0.27461779,0.38651022,0.2923978,-0.17463607,-0.10060775,-0.07979711,-0.1153956,-0.14387292,-0.14758918,-0.15845466,-0.12062245,-0.25467601, 
1695.42,0.31813926,0.62954217,0.33565333,0.33367419,0.2742725,0.38549119,0.29441637,-0.17563532,-0.09627189,-0.08498777,-0.11700499,-0.13954176,-0.14828882,-0.15836644,-0.1170684,-0.25834936, 
1695.62,0.32163393,0.6298002,0.33835167,0.33300853,0.2752561,0.38651326,0.29115286,-0.17397264,-0.10040189,-0.07870234,-0.11930422,-0.14117162,-0.14689851,-0.15391961,-0.11378508,-0.25550327, 
1695.82,0.32254618,0.6343565,0.34017706,0.33691248,0.27580506,0.39001015,0.2967658,-0.17458156,-0.1002655,-0.08321461,-0.12011188,-0.14341642,-0.146512,-0.15908188,-0.11723813,-0.25341091, 
1696.01,0.31675935,0.63720775,0.33973327,0.33462444,0.27488875,0.38847703,0.29228145,-0.1719036,-0.10423544,-0.08234376,-0.11650941,-0.14259633,-0.15123612,-0.15791756,-0.1241895,-0.25309917, 
1696.23,0.3198486,0.63589168,0.33930442,0.33153823,0.27552781,0.39164707,0.29258868,-0.17416431,-0.10167459,-0.08366378,-0.11653439,-0.14184344,-0.14770974,-0.16093318,-0.11927932,-0.25846648, 
1696.43,0.32336116,0.63780224,0.34105712,0.32850784,0.2757391,0.38322935,0.29201648,-0.17088762,-0.09645597,-0.08207902,-0.11681138,-0.14359818,-0.14701398,-0.16240938,-0.11994001,-0.25156951, 
1696.62,0.3203564,0.63761592,0.33624566,0.33560166,0.27549455,0.38222831,0.29336223,-0.1710695,-0.10128152,-0.0797998,-0.11720961,-0.14300902,-0.14738955,-0.15612367,-0.11920872,-0.25392047, 
1696.82,0.32100123,0.64104348,0.33629915,0.33386207,0.27404022,0.38639307,0.29275861,-0.17030874,-0.10198779,-0.08131402,-0.1186303,-0.14501746,-0.15175647,-0.15816431,-0.12043013,-0.25766838, 
1697.02,0.32053491,0.6413756,0.33744937,0.33040023,0.27440324,0.38608706,0.29198509,-0.17330347,-0.10220419,-0.0837222,-0.11425947,-0.14736076,-0.14776665,-0.16307548,-0.11902707,-0.25417736, 
1697.23,0.32340807,0.63973171,0.34191477,0.33135128,0.27511427,0.38582239,0.29004142,-0.17094626,-0.10226797,-0.08429424,-0.11674673,-0.14606792,-0.14516471,-0.16153391,-0.11788886,-0.25310943, 
1697.43,0.31937486,0.63788319,0.33515614,0.33205581,0.27200514,0.39044759,0.29311365,-0.17518976,-0.10176247,-0.08263531,-0.11643759,-0.14526577,-0.14508945,-0.15793586,-0.11965444,-0.2570895, 
1697.63,0.31875101,0.6442765,0.34041891,0.33503136,0.27321804,0.38759938,0.29432401,-0.17062454,-0.10100268,-0.07975589,-0.11805645,-0.14483893,-0.14700729,-0.16196558,-0.1198061,-0.2568261, 
1697.82,0.32129356,0.645881,0.33863202,0.33134657,0.27313283,0.38690427,0.29408038,-0.17178914,-0.09862201,-0.08396158,-0.11729729,-0.14683208,-0.14425629,-0.16272612,-0.12412724,-0.25105327, 
1698.02,0.31759807,0.63972425,0.34005058,0.33202621,0.27484646,0.38546768,0.28965187,-0.16934091,-0.09812877,-0.08019114,-0.11955088,-0.14233534,-0.14585328,-0.16044822,-0.11995874,-0.25428286, 
1698.22,0.32455274,0.6462779,0.33457103,0.33539343,0.27260822,0.38736644,0.29021153,-0.17373282,-0.09859047,-0.07974156,-0.1157096,-0.14342567,-0.14872275,-0.15889782,-0.12125487,-0.25186542, 
1698.43,0.31806278,0.64670104,0.33849886,0.3320834,0.27330807,0.3881242,0.29287732,-0.17418127,-0.10117888,-0.07674508,-0.11960869,-0.1412538,-0.14635938,-0.15830325,-0.12238481,-0.2522189, 
