<CorrectionSettings>
  <RootSensorByLocation>false</RootSensorByLocation>
  <SensorReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SensorReference>
  <SampleReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SampleReference>
  <AlignmentSettings>
    <AlignYCorrection>AverageBaseline</AlignYCorrection>
    <AlignYStart>115.007006835938</AlignYStart>
    <AlignYEnd>120.007006835938</AlignYEnd>
    <InterstepCorrection>None</InterstepCorrection>
    <InterstepCorrectionTime>0</InterstepCorrectionTime>
    <SavitzkyGolayFilter>true</SavitzkyGolayFilter>
  </AlignmentSettings>
</CorrectionSettings>
 Data Alignment: None
 Data Alignment Step: 0
t1A3c1, t1A3c1, t1B3c1, t1B3c1, t1C3c1, t1C3c1, t1D3c1, t1D3c1, t1E3c1, t1E3c1, t1F3c1, t1F3c1, t1G3c1, t1G3c1, t1H3c1, t1H3c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, , p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , p1H6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1686.82, -0.00000981, 1686.82, 0.15662729, 1686.82, 0.00351806, 1686.82, 0.00323411, 1686.82, 0.00114729, 1686.82, 0.00179015, 1686.82, -0.00054837, 1686.82, -0.00005393, 
1687.02, 0.00013316, 1687.02, 0.15942809, 1687.02, 0.00364603, 1687.02, 0.00317401, 1687.02, 0.0010305, 1687.02, 0.0015267, 1687.02, -0.00025376, 1687.02, 0.00030849, 
1687.22, 0.00023629, 1687.22, 0.16223728, 1687.22, 0.00376572, 1687.22, 0.00288925, 1687.22, 0.00072996, 1687.22, 0.00124324, 1687.22, -0.00007384, 1687.22, 0.00035787, 
1687.42, 0.00010689, 1687.42, 0.16471155, 1687.42, 0.00392818, 1687.42, 0.00244404, 1687.42, 0.00018076, 1687.42, 0.00139956, 1687.42, -0.00035704, 1687.42, 0.00048064, 
1687.62, 0.00041388, 1687.62, 0.16754879, 1687.62, 0.00370694, 1687.62, 0.00245313, 1687.62, -0.00042551, 1687.62, 0.0012568, 1687.62, -0.00073033, 1687.62, 0.00021983, 
1687.82, 0.00054888, 1687.82, 0.16982323, 1687.82, 0.00379462, 1687.82, 0.00244619, 1687.82, -0.00049118, 1687.82, 0.00106399, 1687.82, -0.00076931, 1687.82, 0.00034905, 
1688.02, 0.00047812, 1688.02, 0.17230767, 1688.02, 0.00407099, 1688.02, 0.00274415, 1688.02, -0.00041391, 1688.02, 0.00081521, 1688.02, -0.00075925, 1688.02, 0.00034572, 
1688.22, 0.00036483, 1688.22, 0.17477831, 1688.22, 0.00373355, 1688.22, 0.0028679, 1688.22, -0.00065992, 1688.22, 0.00041784, 1688.22, -0.0007579, 1688.22, 0.00004849, 
1688.42, 0.00029016, 1688.42, 0.17711017, 1688.42, 0.00351333, 1688.42, 0.00285745, 1688.42, -0.0007879, 1688.42, 0.00052276, 1688.42, -0.00054798, 1688.42, -0.0002059, 
1688.62, 0.00016591, 1688.62, 0.17959485, 1688.62, 0.00345281, 1688.62, 0.00297686, 1688.62, -0.00054128, 1688.62, 0.00079708, 1688.62, -0.00027242, 1688.62, -0.00013665, 
1688.82, 0.00002478, 1688.82, 0.18195399, 1688.82, 0.00330059, 1688.82, 0.00297887, 1688.82, -0.00049686, 1688.82, 0.00129004, 1688.82, -0.00025168, 1688.82, -0.00009852, 
1689.02, -0.00006484, 1689.02, 0.18393997, 1689.02, 0.00338538, 1689.02, 0.00295873, 1689.02, -0.0000718, 1689.02, 0.00191558, 1689.02, -0.00052887, 1689.02, -0.0000114, 
1689.22, -0.00002692, 1689.22, 0.18572345, 1689.22, 0.00326809, 1689.22, 0.00267735, 1689.22, -0.00022756, 1689.22, 0.0020993, 1689.22, -0.00041303, 1689.22, -0.00018664, 
1689.42, 0.00013527, 1689.42, 0.1875559, 1689.42, 0.00319495, 1689.42, 0.00279243, 1689.42, -0.00026038, 1689.42, 0.00237579, 1689.42, -0.00033622, 1689.42, -0.00001984, 
1689.62, -0.00005253, 1689.62, 0.18987693, 1689.62, 0.00332447, 1689.62, 0.00264468, 1689.62, -0.00082253, 1689.62, 0.0023476, 1689.62, -0.00045797, 1689.62, 0.00021969, 
1689.82, -0.00021693, 1689.82, 0.19190892, 1689.82, 0.00343946, 1689.82, 0.00250334, 1689.82, -0.00096332, 1689.82, 0.00242757, 1689.82, -0.00050359, 1689.82, 0.00001005, 
1690.02, -0.00011985, 1690.02, 0.19399219, 1690.02, 0.00369234, 1690.02, 0.00274637, 1690.02, -0.00094343, 1690.02, 0.0026968, 1690.02, -0.0006438, 1690.02, -0.00001794, 
1690.22, 0.00006111, 1690.22, 0.19573951, 1690.22, 0.00442274, 1690.22, 0.00300301, 1690.22, -0.00063143, 1690.22, 0.00269096, 1690.22, -0.0005638, 1690.22, -0.00021223, 
1690.42, -0.00008663, 1690.42, 0.19755622, 1690.42, 0.00483457, 1690.42, 0.00305008, 1690.42, -0.00085155, 1690.42, 0.00267942, 1690.42, -0.00046646, 1690.42, 0.00018025, 
1690.62, -0.00018944, 1690.62, 0.19918974, 1690.62, 0.00541147, 1690.62, 0.0026967, 1690.62, -0.0006298, 1690.62, 0.00252024, 1690.62, -0.00035836, 1690.62, 0.00026844, 
1690.82, 0.00000826, 1690.82, 0.2009094, 1690.82, 0.00566052, 1690.82, 0.00276635, 1690.82, -0.00074705, 1690.82, 0.00232874, 1690.82, -0.00027638, 1690.82, 0.00038452, 
1691.02, 0.0002026, 1691.02, 0.20253401, 1691.02, 0.00607145, 1691.02, 0.00298728, 1691.02, -0.0008476, 1691.02, 0.00221427, 1691.02, -0.00039485, 1691.02, 0.00059386, 
1691.22, 0.00029997, 1691.22, 0.20421696, 1691.22, 0.00631361, 1691.22, 0.00303296, 1691.22, -0.00082206, 1691.22, 0.00193609, 1691.22, -0.00086263, 1691.22, 0.00065412, 
1691.42, 0.0002473, 1691.42, 0.20536141, 1691.42, 0.00641212, 1691.42, 0.00287076, 1691.42, -0.00070833, 1691.42, 0.00207217, 1691.42, -0.00125324, 1691.42, 0.00043236, 
1691.62, 0.00054773, 1691.62, 0.20697643, 1691.62, 0.00654993, 1691.62, 0.00331842, 1691.62, -0.00066904, 1691.62, 0.0013789, 1691.62, -0.001386, 1691.62, 0.00074756, 
1691.82, 0.00032861, 1691.82, 0.20838493, 1691.82, 0.00692632, 1691.82, 0.00315392, 1691.82, -0.00020815, 1691.82, 0.00107913, 1691.82, -0.00126019, 1691.82, 0.00087374, 
1692.02, 0.00053266, 1692.02, 0.20961259, 1692.02, 0.00696487, 1692.02, 0.00327559, 1692.02, 0.00029321, 1692.02, 0.00083263, 1692.02, -0.00107547, 1692.02, 0.00109663, 
1692.22, 0.00013705, 1692.22, 0.21098273, 1692.22, 0.0069285, 1692.22, 0.00340788, 1692.22, 0.00066121, 1692.22, 0.00048121, 1692.22, -0.00052155, 1692.22, 0.00098316, 
1692.42, 0.00009577, 1692.42, 0.21231969, 1692.42, 0.00675445, 1692.42, 0.00359028, 1692.42, 0.00123449, 1692.42, 0.00063905, 1692.42, -0.00058786, 1692.42, 0.00095824, 
1692.62, 0.00002222, 1692.62, 0.21332283, 1692.62, 0.00689874, 1692.62, 0.00366666, 1692.62, 0.00159564, 1692.62, 0.0006021, 1692.62, -0.00056249, 1692.62, 0.00120181, 
